0	1	2	3	4	phrase	tower	unit
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	1	SA
					1	1	SA
677	902	808萬	2014	4.6%	1	1	SA
677	902	795萬	2011		1	1	SA
677	902	982萬	2018	24.0%	1	1	SA
677	902	823萬	2015	6.6%	1	1	SA
677	902	858萬	2015	20.2%	1	1	SA
679	903	728萬	2010		1	1	SA
679	903	711萬	2010		1	1	SA
679	903	725萬	2010		1	1	SA
679	903	690萬	2012	2.6%	1	1	SA
679	903	707萬	2010		1	1	SA
679	903	720萬	2010		1	1	SA
679	903	758萬	2012	5.5%	1	1	SA
679	903	840萬	2015	17.4%	1	1	SA
679	903	714萬	2010		1	1	SA
679	903	768萬	2013	7.8%	1	1	SA
679	903	711萬	2010		1	1	SA
679	903	709萬	2010		1	1	SA
679	903	693萬	2010		1	1	SA
679	903	706萬	2010		1	1	SA
679	903	820萬	2016	16.4%	1	1	SA
679	903	833萬	2015	18.2%	1	1	SA
679	903	702萬	2010		1	1	SA
679	903	729萬	2011	4.1%	1	1	SA
679	903	699萬	2010		1	1	SA
679	903	697萬	2010		1	1	SA
679	903	696萬	2010		1	1	SA
679	903	694萬	2010		1	1	SA
679	903	678萬	2010		1	1	SA
679	903	761萬	2014	9.9%	1	1	SA
679	903	675萬	2010		1	1	SA
679	903	674萬	2010		1	1	SA
679	903	686萬	2010		1	1	SA
679	903	685萬	2010		1	1	SA
679	903	875萬	2016	28.3%	1	1	SA
679	903	665萬	2010		1	1	SA
679	903	671萬	2010		1	1	SA
679	903	671萬	2010		1	1	SA
679	903	656萬	2010		1	1	SA
679	903	668萬	2010		1	1	SA
679	903	651萬	2010		1	1	SA
679	903	711萬	2011		1	1	SA
658	875	818萬	2016	21.3%	1	1	SA
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	1	SB
					1	1	SB
785	1030	773萬	2010		1	1	SB
785	1030	840萬	2014	8.6%	1	1	SB
785	1030	755萬	2010		1	1	SB
785	1030	752萬	2010		1	1	SB
785	1030	860萬	2013	14.7%	1	1	SB
785	1030	764萬	2010		1	1	SB
785	1030	920萬	2015	20.6%	1	1	SB
785	1030	761萬	2010		1	1	SB
785	1030	744萬	2010		1	1	SB
785	1030	848萬	2014	11.9%	1	1	SB
785	1030	757萬	2010		1	1	SB
785	1030	1,111萬	2017	47.2%	1	1	SB
785	1030	1,300萬	2018	76.5%	1	1	SB
785	1030	750萬	2010		1	1	SB
785	1030	749萬	2010		1	1	SB
785	1030	747萬	2010		1	1	SB
785	1030	880萬	2014	18.0%	1	1	SB
785	1030	729萬	2010		1	1	SB
785	1030	743萬	2010		1	1	SB
785	1030	850萬	2014	14.4%	1	1	SB
785	1030	838萬	2014	12.8%	1	1	SB
785	1030	743萬	2010		1	1	SB
785	1030	728萬	2010		1	1	SB
785	1030	750萬	2011	1.0%	1	1	SB
785	1030	839萬	2013	13.0%	1	1	SB
785	1030	728萬	2010		1	1	SB
785	1030	878萬	2013	18.2%	1	1	SB
785	1030	810萬	2012	9.0%	1	1	SB
785	1030	728萬	2010		1	1	SB
785	1030	1,350萬	2018	58.8%	1	1	SB
785	1030	725萬	2010		1	1	SB
785	1030	836萬	2016	15.3%	1	1	SB
785	1030	820萬	2013	10.8%	1	1	SB
785	1030	836萬	2015	12.9%	1	1	SB
785	1030	740萬	2010		1	1	SB
785	1030	765萬	2012	3.4%	1	1	SB
785	1030	815萬	2013	8.3%	1	1	SB
785	1030	935萬	2017	24.2%	1	1	SB
785	1030	753萬	2010		1	1	SB
785	1030	753萬	2010		1	1	SB
785	1030	720萬	2013	5.7%	1	1	SB
785	1030	737萬	2010		1	1	SB
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	1	SC
					1	1	SC
1616	2156	2,543萬	2012		1	1	SC
959	1272	1,289萬	2010		1	1	SC
